B!vil!	Buršvilistlane	<http://et.wikipedia.org/wiki/Buršvilistlane>	
Ksv!!	Ksv!	<http://et.wikipedia.org/wiki/Ksv!>	
Vil!	Vilistlane	<http://et.wikipedia.org/wiki/Vilistlane>	
Auvil!	Auvilistlane	<http://et.wikipedia.org/wiki/Auvilistlane>	
E.E.L.K.	Eesti Evangeeliumi Luteriusu Kirik	<http://et.wikipedia.org/wiki/Eesti_Evangeeliumi_Luteriusu_Kirik>	
EKL!	Eesti Korporatsioonide Liit	<http://et.wikipedia.org/wiki/Eesti_Korporatsioonide_Liit>	
Hõbe.	Hõbe (perekonnanimi)	<http://et.wikipedia.org/wiki/Hõbe_(perekonnanimi)>	
Ib.	Ibid.	<http://et.wikipedia.org/wiki/Ibid.>	
Gelenau/Erzgeb.	Gelenau	<http://et.wikipedia.org/wiki/Gelenau>	
Schwarzenberg/Erzgeb.	Schwarzenberg	<http://et.wikipedia.org/wiki/Schwarzenberg>	
Breitenbrunn/Erzgeb.	Breitenbrunni vald (Saksimaa)	<http://et.wikipedia.org/wiki/Breitenbrunni_vald_(Saksimaa)>	
Lauter/Sa.	Lauter	<http://et.wikipedia.org/wiki/Lauter>	
Ebersbach/Sa.	Ebersbach (Saksimaa)	<http://et.wikipedia.org/wiki/Ebersbach_(Saksimaa)>	
Ch!C!	Chargiertenconvent	<http://et.wikipedia.org/wiki/Chargiertenconvent>	
Accel.	Accelerando	<http://et.wikipedia.org/wiki/Accelerando>	
Acc.	Accelerando	<http://et.wikipedia.org/wiki/Accelerando>	
Waldkirchen/Erzgeb.	Waldkircheni vald	<http://et.wikipedia.org/wiki/Waldkircheni_vald>	
Seiffen/Erzgeb.	Seiffeni vald	<http://et.wikipedia.org/wiki/Seiffeni_vald>	
O.T.	Saksa ordu	<http://et.wikipedia.org/wiki/Saksa_ordu>	
A.D.	PKr	<http://et.wikipedia.org/wiki/PKr>	
M.a.j.	PKr	<http://et.wikipedia.org/wiki/PKr>	
M.O.T.T.	Quod erat demonstrandum	<http://et.wikipedia.org/wiki/Quod_erat_demonstrandum>	
Börnichen/Erzgeb.	Börnicheni vald	<http://et.wikipedia.org/wiki/Börnicheni_vald>	
Gornau/Erzgeb.	Gornau vald	<http://et.wikipedia.org/wiki/Gornau_vald>	
U.O.B.	Burundi Ülikool	<http://et.wikipedia.org/wiki/Burundi_Ülikool>	
Panic!	Panic! at the Disco	<http://et.wikipedia.org/wiki/Panic!_at_the_Disco>	
W.i.t.c.h.	W.I.T.C.H.	<http://et.wikipedia.org/wiki/W.I.T.C.H.>	
Erxl.	Johann Christian Erxleben	<http://et.wikipedia.org/wiki/Johann_Christian_Erxleben>	
EKr.	Eesti kroon	<http://et.wikipedia.org/wiki/Eesti_kroon>	
J.O.K.K.	Jokk	<http://et.wikipedia.org/wiki/Jokk>	
Schleid.	Matthias Jacob Schleiden	<http://et.wikipedia.org/wiki/Matthias_Jacob_Schleiden>	
Ledeb.	Carl Friedrich von Ledebour	<http://et.wikipedia.org/wiki/Carl_Friedrich_von_Ledebour>	
Pretty.Odd.	Pretty. Odd.	<http://et.wikipedia.org/wiki/Pretty._Odd.>	
LOGO!	Siemens LOGO!	<http://et.wikipedia.org/wiki/Siemens_LOGO!>	
O.T.O.	Ordo Templi Orientis	<http://et.wikipedia.org/wiki/Ordo_Templi_Orientis>	
DC.	Augustin Pyrame de Candolle	<http://et.wikipedia.org/wiki/Augustin_Pyrame_de_Candolle>	
Ad.	Suguküpsus	<http://et.wikipedia.org/wiki/Suguküpsus>	
Afzel.	Adam Afzelius	<http://et.wikipedia.org/wiki/Adam_Afzelius>	
Subsp.	Alamliik	<http://et.wikipedia.org/wiki/Alamliik>	
Ssp.	Alamliik	<http://et.wikipedia.org/wiki/Alamliik>	
И.Н.Ц.И.	INRI	<http://et.wikipedia.org/wiki/INRI>	
R.Br.	Robert Brown	<http://et.wikipedia.org/wiki/Robert_Brown>	
E.m.a.	EKr	<http://et.wikipedia.org/wiki/EKr>	
Mill.	Philip Miller	<http://et.wikipedia.org/wiki/Philip_Miller>	
Lindl.	John Lindley	<http://et.wikipedia.org/wiki/John_Lindley>	
Laterr.	Jean François Laterrade	<http://et.wikipedia.org/wiki/Jean_François_Laterrade>	
Ten.	Michele Tenore	<http://et.wikipedia.org/wiki/Michele_Tenore>	
Juss.	Antoine Laurent de Jussieu	<http://et.wikipedia.org/wiki/Antoine_Laurent_de_Jussieu>	
Pers.	Christiaan Hendrik Persoon	<http://et.wikipedia.org/wiki/Christiaan_Hendrik_Persoon>	
Godr.	Dominique Alexandre Godron	<http://et.wikipedia.org/wiki/Dominique_Alexandre_Godron>	
