I.-P.-E.	Île-du-Prince-Édouard	<http://fr.wikipedia.org/wiki/Île-du-Prince-Édouard>	
Î.-P.-É.	Île-du-Prince-Édouard	<http://fr.wikipedia.org/wiki/Île-du-Prince-Édouard>	
F.B.C.F.	Formation brute de capital fixe	<http://fr.wikipedia.org/wiki/Formation_brute_de_capital_fixe>	
O.V.N.I.	Objet volant non identifié	<http://fr.wikipedia.org/wiki/Objet_volant_non_identifié>	
A.M.A.P.	Association pour le maintien d'une agriculture paysanne	<http://fr.wikipedia.org/wiki/Association_pour_le_maintien_d'une_agriculture_paysanne>	
C.N.T.	Conseil national de transition	<http://fr.wikipedia.org/wiki/Conseil_national_de_transition>	<http://schema.org/Place>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://dbpedia.org/ontology/OldTerritory>,<http://dbpedia.org/ontology/Territory> 
C.N.T.	Confédération nationale du travail (France)	<http://fr.wikipedia.org/wiki/Confédération_nationale_du_travail_(France)>	
C.N.T.	PIT-CNT	<http://fr.wikipedia.org/wiki/PIT-CNT>	
C.N.T.	Confédération nationale du travail (Espagne)	<http://fr.wikipedia.org/wiki/Confédération_nationale_du_travail_(Espagne)>	
C.N.T.	Conseil national des transports	<http://fr.wikipedia.org/wiki/Conseil_national_des_transports>	
C.N.T.	Centre national du théâtre	<http://fr.wikipedia.org/wiki/Centre_national_du_théâtre>	
C.N.T.	Commission nationale de toponymie (France)	<http://fr.wikipedia.org/wiki/Commission_nationale_de_toponymie_(France)>	
C.N.T.	Confédération nationale du travail - Association internationale des travailleurs	<http://fr.wikipedia.org/wiki/Confédération_nationale_du_travail_-_Association_internationale_des_travailleurs>	
R.F.A.	Allemagne	<http://fr.wikipedia.org/wiki/Allemagne>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
Q.I.	Quotient intellectuel	<http://fr.wikipedia.org/wiki/Quotient_intellectuel>	
E.N.S.N.P.	École nationale supérieure de la nature et du paysage	<http://fr.wikipedia.org/wiki/École_nationale_supérieure_de_la_nature_et_du_paysage>	
F.A.I.	Ford-A Izhorskiy	<http://fr.wikipedia.org/wiki/Ford-A_Izhorskiy>	
K.o.	Knockout	<http://fr.wikipedia.org/wiki/Knockout>	
W.A.L.L.O.N.	W+	<http://fr.wikipedia.org/wiki/W+>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Organisation>,<http://dbpedia.org/ontology/PoliticalParty>,<http://schema.org/Organization> 
Comédie!	Comédie+	<http://fr.wikipedia.org/wiki/Comédie+>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Broadcaster>,<http://dbpedia.org/ontology/Organisation>,<http://dbpedia.org/ontology/TelevisionStation>,<http://schema.org/Organization>,<http://schema.org/TelevisionStation> 
S.E.L.	Système d'échange local	<http://fr.wikipedia.org/wiki/Système_d'échange_local>	
A.E.	George William Russell	<http://fr.wikipedia.org/wiki/George_William_Russell>	
U.R.S.S.	Union des républiques socialistes soviétiques	<http://fr.wikipedia.org/wiki/Union_des_républiques_socialistes_soviétiques>	<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://dbpedia.org/ontology/OldTerritory>,<http://dbpedia.org/ontology/Territory>,<http://schema.org/Place> 
J.O.	Jeux olympiques	<http://fr.wikipedia.org/wiki/Jeux_olympiques>	<http://dbpedia.org/ontology/Event>,<http://dbpedia.org/ontology/SportsEvent>,<http://schema.org/Event>,<http://schema.org/SportsEvent> 
S.A.S.P.	Société anonyme sportive professionnelle	<http://fr.wikipedia.org/wiki/Société_anonyme_sportive_professionnelle>	
Oï!	Oi!	<http://fr.wikipedia.org/wiki/Oi!>	
N.W.A.	Niggaz Wit Attitudes	<http://fr.wikipedia.org/wiki/Niggaz_Wit_Attitudes>	<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Band>,<http://dbpedia.org/ontology/Organisation>,<http://schema.org/MusicGroup>,<http://schema.org/Organization> 
É.-U.	États-Unis	<http://fr.wikipedia.org/wiki/États-Unis>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
O.N.U.	Organisation des Nations unies	<http://fr.wikipedia.org/wiki/Organisation_des_Nations_unies>	
U.S.A.	États-Unis	<http://fr.wikipedia.org/wiki/États-Unis>	<http://dbpedia.org/ontology/Country>,<http://dbpedia.org/ontology/Place>,<http://dbpedia.org/ontology/PopulatedPlace>,<http://schema.org/Country>,<http://schema.org/Place> 
Ooups!	OOups	<http://fr.wikipedia.org/wiki/OOups>	
S.U.F.	Scouts unitaires de France	<http://fr.wikipedia.org/wiki/Scouts_unitaires_de_France>	
Sspp.	SSPP	<http://fr.wikipedia.org/wiki/SSPP>	
Spp.	Société psychanalytique de Paris	<http://fr.wikipedia.org/wiki/Société_psychanalytique_de_Paris>	
Spp.	SSPP	<http://fr.wikipedia.org/wiki/SSPP>	
Spp.	Pompier professionnel	<http://fr.wikipedia.org/wiki/Pompier_professionnel>	
Spp.	Steyr SPP	<http://fr.wikipedia.org/wiki/Steyr_SPP>	
Ssp.	Parti socialiste écossais	<http://fr.wikipedia.org/wiki/Parti_socialiste_écossais>	<http://schema.org/Organization>,<http://dbpedia.org/ontology/Agent>,<http://dbpedia.org/ontology/Organisation>,<http://dbpedia.org/ontology/PoliticalParty> 
Ssp.	Stack-Smashing Protector	<http://fr.wikipedia.org/wiki/Stack-Smashing_Protector>	
Ssp.	Sipah-e Sahaba Pakistan	<http://fr.wikipedia.org/wiki/Sipah-e_Sahaba_Pakistan>	
Ssp.	SSPP	<http://fr.wikipedia.org/wiki/SSPP>	
