י.ב.מ.	IBM	<http://he.wikipedia.org/wiki/IBM>	
ס.ס.	אס אס	<http://he.wikipedia.org/wiki/אס_אס>	
ס.ד.	אס דה	<http://he.wikipedia.org/wiki/אס_דה>	
נ.ק.ו.ד.	ק.ג.ב.	<http://he.wikipedia.org/wiki/ק.ג.ב.>	
א.ק.ג.	אלקטרוקרדיוגרם	<http://he.wikipedia.org/wiki/אלקטרוקרדיוגרם>	
א.א.ג.	אא"ג	<http://he.wikipedia.org/wiki/אא%22ג>	
C.F.	סיסטיק פיברוזיס	<http://he.wikipedia.org/wiki/סיסטיק_פיברוזיס>	
סי.אן.אן.	CNN	<http://he.wikipedia.org/wiki/CNN>	
ל.ס.ד.	LSD	<http://he.wikipedia.org/wiki/LSD>	
די.וי.די.	DVD	<http://he.wikipedia.org/wiki/DVD>	
אל.איי.	לוס אנג'לס	<http://he.wikipedia.org/wiki/לוס_אנג'לס>	
נ.ק.וו.ד.	ק.ג.ב.	<http://he.wikipedia.org/wiki/ק.ג.ב.>	
פי.סי.	PC	<http://he.wikipedia.org/wiki/PC>	
בי.בי.סי.	BBC	<http://he.wikipedia.org/wiki/BBC>	
אס.דה.	אס דה	<http://he.wikipedia.org/wiki/אס_דה>	
Net.	.NET	<http://he.wikipedia.org/wiki/.NET>	
NET.	.NET	<http://he.wikipedia.org/wiki/.NET>	
אוונטי!	אוואנטי!	<http://he.wikipedia.org/wiki/אוואנטי!>	
ר.א.ב.	הארי פוטר - דמויות משנה	<http://he.wikipedia.org/wiki/הארי_פוטר_-_דמויות_משנה>	
קא-בום!	אוק"י	<http://he.wikipedia.org/wiki/אוק%22י>	
נ.צ.	נקודת ציון	<http://he.wikipedia.org/wiki/נקודת_ציון>	
I.p.l.	קרן אור (קוסמטיקה)	<http://he.wikipedia.org/wiki/קרן_אור_(קוסמטיקה)>	
D.D.T.	די-די-טי	<http://he.wikipedia.org/wiki/די-די-טי>	
או.ק.וו.	הפיקוד העליון של הוורמאכט	<http://he.wikipedia.org/wiki/הפיקוד_העליון_של_הוורמאכט>	
א.ק.ו.	הפיקוד העליון של הוורמאכט	<http://he.wikipedia.org/wiki/הפיקוד_העליון_של_הוורמאכט>	
A.D.D.	הפרעת קשב, ריכוז והיפראקטיביות	<http://he.wikipedia.org/wiki/הפרעת_קשב,_ריכוז_והיפראקטיביות>	
Il.	.il	<http://he.wikipedia.org/wiki/.il>	
נ.ב.	נ"ב	<http://he.wikipedia.org/wiki/נ%22ב>	
שולת!	שולת!!!1	<http://he.wikipedia.org/wiki/שולת!!!1>	
R.E.M.	אר.אי.אם.	<http://he.wikipedia.org/wiki/אר.אי.אם.>	
L.a.p.d.	קורן (להקה)	<http://he.wikipedia.org/wiki/קורן_(להקה)>	
ר.א.ד.ה.	האקדמיה המלכותית לאמנות הדרמה	<http://he.wikipedia.org/wiki/האקדמיה_המלכותית_לאמנות_הדרמה>	
בי.טי.סי.	צינור הנפט באקו-טביליסי-ג'ייהאן	<http://he.wikipedia.org/wiki/צינור_הנפט_באקו-טביליסי-ג'ייהאן>	
ש.ב.	שירות הביטחון הכללי	<http://he.wikipedia.org/wiki/שירות_הביטחון_הכללי>	
אי.די.בי.	איי די בי חברה לאחזקות	<http://he.wikipedia.org/wiki/איי_די_בי_חברה_לאחזקות>	
ט.ל.ח.	טעות - לעולם חוזר	<http://he.wikipedia.org/wiki/טעות_-_לעולם_חוזר>	
סמאקדאון!	WWE	<http://he.wikipedia.org/wiki/WWE>	
מ.ט.ק.	מ.ט.ק. הונגריה	<http://he.wikipedia.org/wiki/מ.ט.ק._הונגריה>	
דימיון!	דמיון!	<http://he.wikipedia.org/wiki/דמיון!>	
ג.א.ק.	גראצר א.ק.	<http://he.wikipedia.org/wiki/גראצר_א.ק.>	
הופ!	ערוץ הופ!	<http://he.wikipedia.org/wiki/ערוץ_הופ!>	
Com.	.com	<http://he.wikipedia.org/wiki/.com>	
Tv.	.tv	<http://he.wikipedia.org/wiki/.tv>	
אי.טי.	אי.טי. - חבר מכוכב אחר	<http://he.wikipedia.org/wiki/אי.טי._-_חבר_מכוכב_אחר>	
Run-D.M.C.	ראן די אם סי	<http://he.wikipedia.org/wiki/ראן_די_אם_סי>	
ראן-די.אם.סי.	ראן די אם סי	<http://he.wikipedia.org/wiki/ראן_די_אם_סי>	
יאהו!	Yahoo!	<http://he.wikipedia.org/wiki/Yahoo!>	
לחיים!	הרמת כוסית	<http://he.wikipedia.org/wiki/הרמת_כוסית>	
שולת!!	שולת!!!1	<http://he.wikipedia.org/wiki/שולת!!!1>	
האו.סי.	The O.C.	<http://he.wikipedia.org/wiki/The_O.C.>	
ת.ז.	תעודת זהות	<http://he.wikipedia.org/wiki/תעודת_זהות>	
פ.פ.ר.	ארמייה לודובה	<http://he.wikipedia.org/wiki/ארמייה_לודובה>	
פ.ס.ב.	שירות הביטחון הפדרלי (רוסיה)	<http://he.wikipedia.org/wiki/שירות_הביטחון_הפדרלי_(רוסיה)>	
קיי.אר.	קיי. אר. רייקיאוויק	<http://he.wikipedia.org/wiki/קיי._אר._רייקיאוויק>	
Smackdown!	WWE	<http://he.wikipedia.org/wiki/WWE>	
T.A.T.u.	ט.א.ט.ו.	<http://he.wikipedia.org/wiki/ט.א.ט.ו.>	
א.א.פ.	אגודת אדריכלי הפנים בישראל	<http://he.wikipedia.org/wiki/אגודת_אדריכלי_הפנים_בישראל>	
סי.אי.איי.	CIA	<http://he.wikipedia.org/wiki/CIA>	
O.K.	או. קיי.	<http://he.wikipedia.org/wiki/או._קיי.>	
די.די.טי.	די-די-טי	<http://he.wikipedia.org/wiki/די-די-טי>	
E.T.	אי.טי. - חבר מכוכב אחר	<http://he.wikipedia.org/wiki/אי.טי._-_חבר_מכוכב_אחר>	
ש.ג.	ש"ג	<http://he.wikipedia.org/wiki/ש%22ג>	
Attention!	התפוחים	<http://he.wikipedia.org/wiki/התפוחים>	
י.ח.ב.	יוסף חיים ברנר	<http://he.wikipedia.org/wiki/יוסף_חיים_ברנר>	
מיל.	שירות המילואים בישראל	<http://he.wikipedia.org/wiki/שירות_המילואים_בישראל>	
צ.ס.	המפלגה הציונית-סוציאליסטית	<http://he.wikipedia.org/wiki/המפלגה_הציונית-סוציאליסטית>	
P.P.T.S.	החברה לכתבי עולי הרגל לארץ ישראל	<http://he.wikipedia.org/wiki/החברה_לכתבי_עולי_הרגל_לארץ_ישראל>	
P.D.D.	הספקטרום האוטיסטי	<http://he.wikipedia.org/wiki/הספקטרום_האוטיסטי>	
No.	סימן נומרו	<http://he.wikipedia.org/wiki/סימן_נומרו>	
30-06.	.30-06 ספרינגפילד	<http://he.wikipedia.org/wiki/.30-06_ספרינגפילד>	
P.V.C.	פוליוויניל כלוריד	<http://he.wikipedia.org/wiki/פוליוויניל_כלוריד>	
ק.ד.ב.	קד"ב	<http://he.wikipedia.org/wiki/קד%22ב>	
H.D.	הילדה דוליטל	<http://he.wikipedia.org/wiki/הילדה_דוליטל>	
גול!	גול! (סרט)	<http://he.wikipedia.org/wiki/גול!_(סרט)>	
מ.א.	מ"א	<http://he.wikipedia.org/wiki/מ%22א>	
H.A.M.	H•A•M	<http://he.wikipedia.org/wiki/H•A•M>	
מ.ש.ל.	מש"ל	<http://he.wikipedia.org/wiki/מש%22ל>	
טי.איי.	T.I.	<http://he.wikipedia.org/wiki/T.I.>	
מ.ג.ב.	ק.ג.ב.	<http://he.wikipedia.org/wiki/ק.ג.ב.>	
נקודה.	נקודה (כתב עת)	<http://he.wikipedia.org/wiki/נקודה_(כתב_עת)>	
מ.י.ה.	M.I.A.	<http://he.wikipedia.org/wiki/M.I.A.>	
ד.ל.	דוד לאזר	<http://he.wikipedia.org/wiki/דוד_לאזר>	
RAW!	WWE RAW	<http://he.wikipedia.org/wiki/WWE_RAW>	
¡Uno!	!Uno¡	<http://he.wikipedia.org/wiki/!Uno¡>	
אמן.	אמן (סרט)	<http://he.wikipedia.org/wiki/אמן_(סרט)>	
א.ז.א.	אהרן זאב אשכולי	<http://he.wikipedia.org/wiki/אהרן_זאב_אשכולי>	
Fun.	פאן (להקה)	<http://he.wikipedia.org/wiki/פאן_(להקה)>	
פ.ק.פ.	המפלגה הקומוניסטית הישראלית	<http://he.wikipedia.org/wiki/המפלגה_הקומוניסטית_הישראלית>	
ג.פ.או.	ק.ג.ב.	<http://he.wikipedia.org/wiki/ק.ג.ב.>	
