С.А.Д.	Соединети Американски Држави	<http://mk.wikipedia.org/wiki/Соединети_Американски_Држави>	
Герм.	Германски јазик	<http://mk.wikipedia.org/wiki/Германски_јазик>	
Англ.	Англиски јазик	<http://mk.wikipedia.org/wiki/Англиски_јазик>	
Анг.	Англиски јазик	<http://mk.wikipedia.org/wiki/Англиски_јазик>	
Фр.	Француски јазик	<http://mk.wikipedia.org/wiki/Француски_јазик>	
Шпан.	Шпански јазик	<http://mk.wikipedia.org/wiki/Шпански_јазик>	
Лат.	Латински јазик	<http://mk.wikipedia.org/wiki/Латински_јазик>	
Итал.	Италијански јазик	<http://mk.wikipedia.org/wiki/Италијански_јазик>	
Грч.	Грчки јазик	<http://mk.wikipedia.org/wiki/Грчки_јазик>	
Пол.	Полски јазик	<http://mk.wikipedia.org/wiki/Полски_јазик>	
Хол.	Холандски јазик	<http://mk.wikipedia.org/wiki/Холандски_јазик>	
Маор.	Маорски јазик	<http://mk.wikipedia.org/wiki/Маорски_јазик>	
Рус.	Руски јазик	<http://mk.wikipedia.org/wiki/Руски_јазик>	
Хрв.	Хрватски јазик	<http://mk.wikipedia.org/wiki/Хрватски_јазик>	
Арап.	Арапски јазик	<http://mk.wikipedia.org/wiki/Арапски_јазик>	
Укр.	Украински јазик	<http://mk.wikipedia.org/wiki/Украински_јазик>	
Порт.	Португалски јазик	<http://mk.wikipedia.org/wiki/Португалски_јазик>	
Перс.	Персиски јазик	<http://mk.wikipedia.org/wiki/Персиски_јазик>	
Старогрч.	Старогрчки јазик	<http://mk.wikipedia.org/wiki/Старогрчки_јазик>	
Срп.	Српски јазик	<http://mk.wikipedia.org/wiki/Српски_јазик>	
Кин.	Кинески јазик	<http://mk.wikipedia.org/wiki/Кинески_јазик>	
Унг.	Унгарски јазик	<http://mk.wikipedia.org/wiki/Унгарски_јазик>	
Тур.	Турски јазик	<http://mk.wikipedia.org/wiki/Турски_јазик>	
Барај!	Барај! (пребарувач)	<http://mk.wikipedia.org/wiki/Барај!_(пребарувач)>	
Старосл.	Старословенски јазик	<http://mk.wikipedia.org/wiki/Старословенски_јазик>	
Белорус.	Белоруски јазик	<http://mk.wikipedia.org/wiki/Белоруски_јазик>	
Белор.	Белоруски јазик	<http://mk.wikipedia.org/wiki/Белоруски_јазик>	
Н.Р.К.	Народна Република Кина	<http://mk.wikipedia.org/wiki/Народна_Република_Кина>	
Буг.	Бугарски јазик	<http://mk.wikipedia.org/wiki/Бугарски_јазик>	
Макед.	Македонски јазик	<http://mk.wikipedia.org/wiki/Македонски_јазик>	
Бос.	Босански јазик	<http://mk.wikipedia.org/wiki/Босански_јазик>	
Јап.	Јапонски јазик	<http://mk.wikipedia.org/wiki/Јапонски_јазик>	
Гер.	Германски јазик	<http://mk.wikipedia.org/wiki/Германски_јазик>	
Хебр.	Хебрејски јазик	<http://mk.wikipedia.org/wiki/Хебрејски_јазик>	
Дан.	Дански јазик	<http://mk.wikipedia.org/wiki/Дански_јазик>	
Чеш.	Чешки јазик	<http://mk.wikipedia.org/wiki/Чешки_јазик>	
Мак.	Македонски јазик	<http://mk.wikipedia.org/wiki/Македонски_јазик>	
Словен.	Словенечки јазик	<http://mk.wikipedia.org/wiki/Словенечки_јазик>	
Норв.	Норвешки јазик	<http://mk.wikipedia.org/wiki/Норвешки_јазик>	
Јоомла!	Joomla	<http://mk.wikipedia.org/wiki/Joomla>	
Малт.	Малтешки јазик	<http://mk.wikipedia.org/wiki/Малтешки_јазик>	
Ca.	.ca	<http://mk.wikipedia.org/wiki/.ca>	
Р.А.Б.	Смртојади	<http://mk.wikipedia.org/wiki/Смртојади>	
Швед.	Шведски јазик	<http://mk.wikipedia.org/wiki/Шведски_јазик>	
Ad.	.ad	<http://mk.wikipedia.org/wiki/.ad>	
Af.	.af	<http://mk.wikipedia.org/wiki/.af>	
Ae.	.ae	<http://mk.wikipedia.org/wiki/.ae>	
