U.S.A.	Spojené štáty	<http://sk.wikipedia.org/wiki/Spojené_štáty>	
MUDr.	Doktor všeobecného lekárstva	<http://sk.wikipedia.org/wiki/Doktor_všeobecného_lekárstva>	
M.D.	Doktor všeobecného lekárstva	<http://sk.wikipedia.org/wiki/Doktor_všeobecného_lekárstva>	
D.M.	Doktor všeobecného lekárstva	<http://sk.wikipedia.org/wiki/Doktor_všeobecného_lekárstva>	
RSDr.	Doktor sociálno-politických vied	<http://sk.wikipedia.org/wiki/Doktor_sociálno-politických_vied>	
JUDr.	Doktor práv	<http://sk.wikipedia.org/wiki/Doktor_práv>	
MgA.	Magister umenia	<http://sk.wikipedia.org/wiki/Magister_umenia>	
MDDr.	Doktor zubného lekárstva	<http://sk.wikipedia.org/wiki/Doktor_zubného_lekárstva>	
RNDr.	Doktor prírodných vied	<http://sk.wikipedia.org/wiki/Doktor_prírodných_vied>	
MUDr.	Doktor všeobecného lekárstva	<http://sk.wikipedia.org/wiki/Doktor_všeobecného_lekárstva>	
ThLic.	Licenciát teológie	<http://sk.wikipedia.org/wiki/Licenciát_teológie>	
M.D.	Doktor všeobecného lekárstva	<http://sk.wikipedia.org/wiki/Doktor_všeobecného_lekárstva>	
PharmDr.	Doktor farmácie	<http://sk.wikipedia.org/wiki/Doktor_farmácie>	
D.M.	Doktor všeobecného lekárstva	<http://sk.wikipedia.org/wiki/Doktor_všeobecného_lekárstva>	
DrSc.	Doktor vied	<http://sk.wikipedia.org/wiki/Doktor_vied>	
RSDr.	Doktor sociálno-politických vied	<http://sk.wikipedia.org/wiki/Doktor_sociálno-politických_vied>	
JUDr.	Doktor práv	<http://sk.wikipedia.org/wiki/Doktor_práv>	
MgA.	Magister umenia	<http://sk.wikipedia.org/wiki/Magister_umenia>	
MDDr.	Doktor zubného lekárstva	<http://sk.wikipedia.org/wiki/Doktor_zubného_lekárstva>	
RNDr.	Doktor prírodných vied	<http://sk.wikipedia.org/wiki/Doktor_prírodných_vied>	
ThLic.	Licenciát teológie	<http://sk.wikipedia.org/wiki/Licenciát_teológie>	
PharmDr.	Doktor farmácie	<http://sk.wikipedia.org/wiki/Doktor_farmácie>	
DrSc.	Doktor vied	<http://sk.wikipedia.org/wiki/Doktor_vied>	
S.D.B.	Saleziáni Don Bosca	<http://sk.wikipedia.org/wiki/Saleziáni_Don_Bosca>	
PaedDr.	Doktor pedagogiky	<http://sk.wikipedia.org/wiki/Doktor_pedagogiky>	
PhDr.	Doktor filozofie	<http://sk.wikipedia.org/wiki/Doktor_filozofie>	
Dr.h.c.	Doctor honoris causa	<http://sk.wikipedia.org/wiki/Doctor_honoris_causa>	
S.H.A.R.P.	Skinheads Against Racial Prejudice	<http://sk.wikipedia.org/wiki/Skinheads_Against_Racial_Prejudice>	
S.D.B.	Saleziáni Don Bosca	<http://sk.wikipedia.org/wiki/Saleziáni_Don_Bosca>	
PaedDr.	Doktor pedagogiky	<http://sk.wikipedia.org/wiki/Doktor_pedagogiky>	
PhDr.	Doktor filozofie	<http://sk.wikipedia.org/wiki/Doktor_filozofie>	
Dr.h.c.	Doctor honoris causa	<http://sk.wikipedia.org/wiki/Doctor_honoris_causa>	
CSc.	Kandidát vied	<http://sk.wikipedia.org/wiki/Kandidát_vied>	
ScC.	Kandidát vied	<http://sk.wikipedia.org/wiki/Kandidát_vied>	
S.H.A.R.P.	Skinheads Against Racial Prejudice	<http://sk.wikipedia.org/wiki/Skinheads_Against_Racial_Prejudice>	
PhD.	Doktor (PhD.)	<http://sk.wikipedia.org/wiki/Doktor_(PhD.)>	
D.Phil.	Doktor (PhD.)	<http://sk.wikipedia.org/wiki/Doktor_(PhD.)>	
Ph.D.	Doktor (PhD.)	<http://sk.wikipedia.org/wiki/Doktor_(PhD.)>	
CSc.	Kandidát vied	<http://sk.wikipedia.org/wiki/Kandidát_vied>	
ScC.	Kandidát vied	<http://sk.wikipedia.org/wiki/Kandidát_vied>	
ThDr.	Doktor teológie	<http://sk.wikipedia.org/wiki/Doktor_teológie>	
PhD.	Doktor (PhD.)	<http://sk.wikipedia.org/wiki/Doktor_(PhD.)>	
D.Phil.	Doktor (PhD.)	<http://sk.wikipedia.org/wiki/Doktor_(PhD.)>	
Ph.D.	Doktor (PhD.)	<http://sk.wikipedia.org/wiki/Doktor_(PhD.)>	
Bc.	Bakalár	<http://sk.wikipedia.org/wiki/Bakalár>	
Ing.	Inžinier	<http://sk.wikipedia.org/wiki/Inžinier>	
ThDr.	Doktor teológie	<http://sk.wikipedia.org/wiki/Doktor_teológie>	
Mgr.	Magister (akademická hodnosť)	<http://sk.wikipedia.org/wiki/Magister_(akademická_hodnosť)>	
-123min.	-123 min.	<http://sk.wikipedia.org/wiki/-123_min.>	
Bc.	Bakalár	<http://sk.wikipedia.org/wiki/Bakalár>	
OFMConv.	Rád menších bratov konventuálov	<http://sk.wikipedia.org/wiki/Rád_menších_bratov_konventuálov>	
Ing.	Inžinier	<http://sk.wikipedia.org/wiki/Inžinier>	
OFMCap.	Rád menších bratov kapucínov	<http://sk.wikipedia.org/wiki/Rád_menších_bratov_kapucínov>	
Mgr.	Magister (akademická hodnosť)	<http://sk.wikipedia.org/wiki/Magister_(akademická_hodnosť)>	
Doc.	Docent	<http://sk.wikipedia.org/wiki/Docent>	
Prof.	Profesor	<http://sk.wikipedia.org/wiki/Profesor>	
-123min.	-123 min.	<http://sk.wikipedia.org/wiki/-123_min.>	
O.T.O.	Ordo Templi Orientis	<http://sk.wikipedia.org/wiki/Ordo_Templi_Orientis>	
OFMConv.	Rád menších bratov konventuálov	<http://sk.wikipedia.org/wiki/Rád_menších_bratov_konventuálov>	
Žst.	Železničná stanica	<http://sk.wikipedia.org/wiki/Železničná_stanica>	
OFMCap.	Rád menších bratov kapucínov	<http://sk.wikipedia.org/wiki/Rád_menších_bratov_kapucínov>	
BcA.	Bakalár umenia	<http://sk.wikipedia.org/wiki/Bakalár_umenia>	
Doc.	Docent	<http://sk.wikipedia.org/wiki/Docent>	
F.B.I.	FBI (rozlišovacia stránka)	<http://sk.wikipedia.org/wiki/FBI_(rozlišovacia_stránka)>	
MVDr.	Doktor veterinárneho lekárstva	<http://sk.wikipedia.org/wiki/Doktor_veterinárneho_lekárstva>	
Mons.	Monsignore	<http://sk.wikipedia.org/wiki/Monsignore>	
N.l.	NL	<http://sk.wikipedia.org/wiki/NL>	
Varuj...!	Varúj...!	<http://sk.wikipedia.org/wiki/Varúj...!>	
RTDr.	Doktor technických vied	<http://sk.wikipedia.org/wiki/Doktor_technických_vied>	
T.A.N.	Transaction authentication number	<http://sk.wikipedia.org/wiki/Transaction_authentication_number>	
Pedagogička.	Učiteľ	<http://sk.wikipedia.org/wiki/Učiteľ>	
O.S.B.M.	Rád svätého Bazila Veľkého	<http://sk.wikipedia.org/wiki/Rád_svätého_Bazila_Veľkého>	
Prof.	Profesor	<http://sk.wikipedia.org/wiki/Profesor>	
ICDr.	Doktor kanonického práva	<http://sk.wikipedia.org/wiki/Doktor_kanonického_práva>	
O.T.O.	Ordo Templi Orientis	<http://sk.wikipedia.org/wiki/Ordo_Templi_Orientis>	
Žst.	Železničná stanica	<http://sk.wikipedia.org/wiki/Železničná_stanica>	
BcA.	Bakalár umenia	<http://sk.wikipedia.org/wiki/Bakalár_umenia>	
F.B.I.	FBI (rozlišovacia stránka)	<http://sk.wikipedia.org/wiki/FBI_(rozlišovacia_stránka)>	
MVDr.	Doktor veterinárneho lekárstva	<http://sk.wikipedia.org/wiki/Doktor_veterinárneho_lekárstva>	
Mons.	Monsignore	<http://sk.wikipedia.org/wiki/Monsignore>	
N.l.	NL	<http://sk.wikipedia.org/wiki/NL>	
Varuj...!	Varúj...!	<http://sk.wikipedia.org/wiki/Varúj...!>	
RTDr.	Doktor technických vied	<http://sk.wikipedia.org/wiki/Doktor_technických_vied>	
T.A.N.	Transaction authentication number	<http://sk.wikipedia.org/wiki/Transaction_authentication_number>	
Pedagogička.	Učiteľ	<http://sk.wikipedia.org/wiki/Učiteľ>	
O.S.B.M.	Rád svätého Bazila Veľkého	<http://sk.wikipedia.org/wiki/Rád_svätého_Bazila_Veľkého>	
ICDr.	Doktor kanonického práva	<http://sk.wikipedia.org/wiki/Doktor_kanonického_práva>	
